author,journal,year,document_type,doi,url,pubmed_id,author_keywords,mesh_terms,keywords,publication_type,title,abstract
Condos R and McClune A and Rom WN and Schluger NW,"Lancet (London, England)",1996,NA,10.1016/s0140-6736(96)90281-0,NA,8602060,NA,"Adult and Aged and Antitubercular Agents/therapeutic use and Base Sequence and DNA Primers and DNA, Bacterial/*blood/genetics and False Negative Reactions and Female and Humans and Male and Middle Aged and Molecular Sequence Data and Mycobacterium tuberculosis/*genetics and *Polymerase Chain Reaction and Prospective Studies and Sensitivity and Specificity and Tuberculosis, Pulmonary/*diagnosis/drug therapy/microbiology",NA,"Journal Article and Research Support, Non-U.S. Gov't and Research Support, U.S. Gov't, P.H.S.",Peripheral-blood-based PCR assay to identify patients with active pulmonary tuberculosis.,"BACKGROUND: There is a need for rapid diagnosis of pulmonary tuberculosis. We have previously used a PCR to detect circulating Mycobacterium tuberculosis DNA in blood samples from patients (mostly HIV-infected) with pulmonary tuberculosis. We have now prospectively investigated the role of this blood-based PCR assay for diagnosis of this disease in a clinical setting. METHODS: Our PCR assay is specific for the IS6110 insertion element of the M tuberculosis complex of organisms. We used it to test peripheral blood from 88 consecutive patients admitted to a chest ward with suspected pulmonary tuberculosis. Personnel who carried out the assay did not know the results of any clinical investigations and ultimate diagnosis, and clinicians did not know the PCR results. Results of the PCR assay were compared with the final clinical diagnosis. A subgroup of 15 patients had blood samples assayed serially to track the PCR signal over time. FINDINGS: 41 patients had a final clinical diagnosis of tuberculosis, and the cases were typical of those seen at our hospital: HIV infection was common, and most cases were not sputum-smear positive for acid-fast bacilli. The PCR assay correctly identified 39 of 41 patients with proven pulmonary tuberculosis, 26 (63%) of whom were sputum-smear negative. There were five patients in whom a positive PCR result did not accord with the final clinical diagnosis, and two of the 44 negative PCR results were classified as false negatives. The overall sensitivity and specificity of the PCR assay for a diagnosis of tuberculosis was 95% and 89%, respectively. In 15 patients with pulmonary tuberculosis and a positive blood assay,the PCR result remained positive after 1 month of therapy, but had reverted to negative in 13 of the 15 by 4 months of therapy. INTERPRETATION: We conclude that peripheral-blood-based PCR detection for the diagnosis of tuberculosis is a technically feasible approach that has a potentially important role in the diagnosis of pulmonary tuberculosis."
Vishnevskaia EB,Klinicheskaia laboratornaia diagnostika,1998,NA,NA,NA,9742766,NA,"*Artifacts and Chromatography, Gel/methods and DNA, Bacterial/isolation & purification and Endometrium/microbiology and Female and Humans and Menstruation/blood and Mycobacterium tuberculosis/isolation & purification and Polymerase Chain Reaction/*methods and Tuberculosis, Female Genital/blood/diagnosis/microbiology",NA,Comparative Study and English Abstract and Journal Article,[Ways to decrease inhibition of the polymerase chain reaction by the components of the clinical specimens].,Inhibition of the polymerase chain reaction (PCR) by components of the analyzed specimen is an important problem in analysis of clinical material by this method. The inhibitory activity of clinical material can be decreased by additional purification of DNA by gel filtration on microcolumns. The method was developed using blood-containing specimens and tried on many clinical specimens. Commercial PCR kit for detecting Mycobacterium tuberculosis was used. The proposed method for DNA purification notably improves the efficacy of detecting the agents by PCR.
Vishnevskaia EB,Problemy tuberkuleza,1998,NA,NA,NA,9866398,NA,"DNA, Bacterial/analysis/*isolation & purification and Diagnosis, Differential and Female and Humans and Mycobacterium tuberculosis/*genetics and *Polymerase Chain Reaction and Tuberculosis, Female Genital/*microbiology and Tuberculosis, Osteoarticular/*microbiology",NA,Comparative Study and English Abstract and Journal Article,[Specific features of DNA isolation for polymerase chain reaction in extrapulmonary tuberculosis].,"While testing samples by the polymerase chain reaction (PCR), a procedure for DNA isolation is advisable adapted for different types of materials; thorough DNA purification is of the greatest importance in testing blood-containing samples, deep sample lysis is of particular importance for osseous tissue samples. A differential approach to isolating DNA from clinical samples allows the efficiency of PCR to be enhanced."
Nemes E and Meermeier EW and Scriba TJ and Walzl G and Malherbe ST and Lewinsohn DM,Seminars in respiratory and critical care medicine,2018,NA,10.1055/s-0038-1660471,NA,30071544,NA,"Humans and Intensive Care Units and Mycobacterium tuberculosis/*genetics/isolation & purification and Nucleic Acid Amplification Techniques and Positron Emission Tomography Computed Tomography and Radiography, Thoracic and Tuberculin Test and Tuberculosis/*diagnosis",NA,Journal Article and Review,Diagnostic Challenge of Tuberculosis Heterogeneity.,"For the ICU physician, the failure to consider, diagnose, and treat tuberculosis (TB) results in increased morbidity and mortality, and poses risks to both patients and health care providers. At present, the diagnosis of TB depends on the detection of either mycobacteria or mycobacterial products from clinical specimens. Given the risks posed to both the patient and health care providers by undiagnosed and/or untreated TB, the ability to diagnose TB rapidly in the ICU cannot be understated. In this regard, nucleic acid amplification tests provide relatively quick information about the presence of Mycobacterium tuberculosis (Mtb) DNA. If available, a blood-based test that would accurately identify persons with TB would be of use in the ICU. Currently available tests such as the T-Spot.TB or QuantiFERON-TB Gold In-Tube can discern infection with Mtb, but are not recommended for the ICU as they cannot rule out TB. In this review, we will discuss the increasing literature that would suggest that a blood-based diagnostic that reflects the host response to TB could be used to diagnose TB in the ICU."
Yang J and Han X and Liu A and Bai X and Xu C and Bao F and Feng S and Tao L and Ma M and Peng Y,Frontiers in cellular and infection microbiology,2017,NA,10.3389/fcimb.2017.00369,NA,28848722,NA,"Adult and Cell-Free Nucleic Acids/*blood and DNA, Bacterial/*blood and Female and Humans and Male and Mycobacterium tuberculosis/genetics/*isolation & purification and Real-Time Polymerase Chain Reaction/*methods and Sensitivity and Specificity and Tuberculosis, Pulmonary/blood/*diagnosis",*Droplet Digital PCR and *Mycobacterium tuberculosis and *molecular diagnosis and *tuberculosis,"Journal Article and Research Support, Non-U.S. Gov't",Use of Digital Droplet PCR to Detect Mycobacterium tuberculosis DNA in Whole Blood-Derived DNA Samples from Patients with Pulmonary and Extrapulmonary Tuberculosis.,"Tuberculosis (TB) is a chronic infectious disease that has been threatening public health for many centuries. The clinical diagnostic procedure for TB is time-consuming and laborious. In the last 20 years, real-time fluorescence-based quantitative PCR (real-time PCR) has become a better alternative for TB diagnosis in clinics due to its sensitivity and specificity. Recently, digital droplet PCR (ddPCR) has been developed, and it might be an ideal alternative to conventional real-time PCR for microorganism detection. In this study, we aimed to assess the capacity of ddPCR and real-time PCR for detecting low levels of circulating Mycobacterium tuberculosis (MTB) DNA. The study involved testing whole blood samples for an MTB DNA target (known as IS6110). Blood samples were obtained from 28 patients with pulmonary TB, 28 patients with extrapulmonary TB, and 28 healthy individuals. The results show that ddPCR could be used to measure low levels of MTB DNA, and it has the potential to be used to diagnose pulmonary and extrapulmonary TB based on clinical samples."
"Restrepo, B.I. and Gomez, D.I. and Shipley, G.L. and McCormick, J.B. and Fisher-Hoch, S.P.",Journal of Microbiological Methods,2006,Article,10.1016/j.mimet.2006.03.016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33748748552&doi=10.1016%2fj.mimet.2006.03.016&partnerID=40&md5=e097787b3780c3d3e8d75c8315725a25,16678925,DNA extraction;  Mycobacteremia;  Mycobacterium;  Paucibacillary;  Pediatric;  Real-time polymerase chain reaction;  Tuberculosis,NA,"bacterial DNA, article;  bacterial genome;  bacterium culture;  bacterium detection;  blood;  cerebrospinal fluid analysis;  comparative study;  controlled study;  culture medium;  diagnostic accuracy;  DNA determination;  DNA extraction;  DNA isolation;  gene amplification;  genome analysis;  host resistance;  human;  hydrogenolysis;  lung tuberculosis;  lymph node biopsy;  miliary tuberculosis;  molecular mimicry;  Mycobacterium avium;  Mycobacterium tuberculosis;  nonhuman;  nucleotide sequence;  pathophysiology;  paucibacillary leprosy;  performance measurement system;  pleura fluid;  priority journal;  real time polymerase chain reaction;  sensitivity analysis;  separation technique;  smear;  solvent effect;  species differentiation;  stomach biopsy;  tuberculin test;  tuberculous lymphadenitis, Child;  DNA, Bacterial;  Electrophoresis, Polyacrylamide Gel;  Fluorescent Dyes;  Humans;  Mycobacterium avium;  Mycobacterium tuberculosis;  Organic Chemicals;  Polymerase Chain Reaction;  Prospective Studies;  RNA, Ribosomal, 16S;  Sensitivity and Specificity;  Tuberculosis, Bacteria (microorganisms);  Corynebacterineae;  Mycobacterium;  Mycobacterium avium;  Mycobacterium tuberculosis",NA,Selective enrichment and detection of mycobacterial DNA in paucibacillary specimens,"A major challenge for tuberculosis control is mycobacterial detection in paucibacillary disease, particularly in pediatric, extrapulmonary and smear-negative pulmonary infections. We developed a simple and efficient DNA extraction and real-time quantitative PCR (qPCR) protocol for mycobacterial detection and quantification in paucibacillary specimens. The method was refined using an in vitro model mimicking blood specimens which are characterized by the presence of numerous qPCR inhibitors. Mycobacterial DNA detection in blood is of interest given the high sensitivity we previously reported using conventional PCR in blood of patients with tuberculosis lymphadenitis. Mechanical lysis of mycobacteria in the presence of an organic solvent provided the highest sensitivity. Mycobacterial DNA amplification was compromised when the human:bacterial genome ratio was at least 190:1. Separation of the specimen into bacterial- and host-rich fractions prior to DNA extraction improved mycobacterial DNA detection by 30%. Preliminary testing of our protocol in smear-negative, culture-positive specimens (gastric and lymph node aspirates, pleural and cerebrospinal fluid, and blood) confirmed the applicability of our technique to a range of paucibacillary specimens for the detection, quantification and speciation (M. tuberculosis versus M. avium) of mycobacteria, several weeks before culture results were available. Our protocol provides a novel, efficient and simple strategy to improve the performance of qPCR in paucibacillary specimens, including those with excess human DNA background. This tool is useful to study the pathophysiology of early pulmonary or occult tuberculosis, and for more rapid and accurate diagnosis in difficult to diagnose infections.  2006 Elsevier B.V. All rights reserved."
Hajiabdolbaghi M and Rasoulinejad M and Davoudi AR and Alikhani A and Najafi N,European review for medical and pharmacological sciences,2014,NA,NA,NA,24488906,NA,"Adult and DNA, Bacterial/genetics and Female and Humans and Iran and Male and Middle Aged and Mycobacterium tuberculosis/*genetics and Polymerase Chain Reaction/methods and Prospective Studies and Tuberculosis, Pulmonary/*diagnosis/*microbiology",NA,Journal Article,Application of peripheral blood Mycobacterium tuberculosis PCR for diagnosis of tuberculosis patients.,"BACKGROUND: Mycobacterium tuberculosis (MTB) infection is a global health problem. Failure to accurately identify cases of active MTB has serious effects on both patients and the community. Acid-fast bacilli (AFB) smear has poor sensitivity and culture methods have a delay ranging from 1 to 8 weeks for diagnosis. Nucleic acid amplification assays may be suitable candidates for this purpose. PATIENTS AND METHODS: In a prospective study, we evaluated Mycobacterium tuberculosis DNA in peripheral blood samples with PCR technique in 190 patients with pulmonary and extra pulmonary tuberculosis whom were admitted to Tehran Imam Khomeini hospitals during 2006-2010. Three ml citrated blood samples were obtained from cases. DNA extraction was performed by QIAGEN commercial kit and PCR performed with IS1081 Primer. RESULTS: Fifty six cases had extra-pulmonary tuberculosis and 134 were pulmonary. Overall sensitivity and specificity of the PCR assay was 41.1% and 95.5%, respectively. CONCLUSIONS: MTB-PCR assay on PBMC using IS1081 primer has a low sensitivity and now can not use as a single or alternative diagnostic test for tuberculosis. However, with regard to its high specificity can use for help diagnosing of TB in cases have no enough sputum (or other specimens) to examination for acid-fast bacilli (AFB) smear and culture."
"Nandagopal, B. and Sankar, S. and Lingesan, K. and Appu, K.C. and Sridharan, G. and Gopinathan, A.K.",Indian Journal of Medical Microbiology,2010,Article,10.4103/0255-0857.66480,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955122791&doi=10.4103%2f0255-0857.66480&partnerID=40&md5=d787f9467235901e2964142b4744b883,20644311,Buffy coat;  IS6110;  Mycobacterium tuberculosis;  nested PCR;  rural,NA,"DNA;  Taq polymerase;  transposon, article;  blood culture;  blood sampling;  DNA extraction;  fever;  gene insertion sequence;  human;  human cell;  Human immunodeficiency virus infected patient;  leukocyte;  major clinical study;  Mycobacterium tuberculosis;  nonhuman;  plasmid;  polymerase chain reaction;  rural population;  sensitivity and specificity;  urban population;  venous blood;  adolescent;  adult;  aged;  blood;  child;  evaluation study;  female;  genetics;  India;  isolation and purification;  leukocyte;  male;  microbiological examination;  microbiology;  middle aged;  Mycobacterium tuberculosis;  polymerase chain reaction;  preschool child;  procedures;  transposon;  tuberculosis;  very elderly;  young adult, Adolescent;  Adult;  Aged;  Aged, 80 and over;  Bacteriological Techniques;  Blood;  Child;  Child, Preschool;  DNA Transposable Elements;  Female;  Humans;  India;  Leukocytes;  Male;  Middle Aged;  Mycobacterium tuberculosis;  Polymerase Chain Reaction;  Sensitivity and Specificity;  Tuberculosis;  Young Adult",NA,Evaluation of a nested PCR targeting IS6110 of Mycobacterium tuberculosis for detection of the organism in the leukocyte fraction of blood samples,"Purpose: Tuberculosis poses a serious health problem in resource-poor settings such as India. Polymerase chain reaction (PCR) is presently seen as a promising alternative to conventional smear microscopy and culture techniques. Undiagnosed fever is a condition where the aetiology could include tuberculosis in a significant percentage. This paper evaluates a nested PCR (nPCR) using Hotstar Taq for the detection of M. tuberculosis in patients with febrile illness using insertion element, IS6110 as a target. Material and Methods: A total of 355 samples (301 HIV status unknown and 54 HIV seropositives) from patients primarily with febrile illness were tested for the presence of M. tuberculosis. Blood culture was done in a commercial automated blood culture system and nPCR in DNA extracts from buffy coat samples. Hotstar Taq polymerase was used to enhance the sensitivity of nPCR and the lower limit of detection was determined by using cloned plasmid. Results: Among the patients tested, 2% were positive by automated culture system and 6.8% of patients were positive by nPCR. Majority of the positives were from HIV seropositive individuals. The sensitivity of the nPCR was 100% and the specificity was 95.1%. The lower limit of detection was less than 1 genome copy per microlitre. Among the nPCR positives, patients from rural community were significantly higher than from the peri-urban community. Conclusions: The nPCR had a high sensitivity and specificity on buffy coat samples using Hotstar Taq polymerase in the reaction mix. Thus the technique is a valuable tool in the diagnosis of tuberculosis."
NA,Journal of the Indian Medical Association,2014,NA,NA,NA,25935959,NA,"Adolescent and Adult and Aged and Bodily Secretions/microbiology and Body Fluids/microbiology and Child and Child, Preschool and Female and Humans and Infant and Male and Middle Aged and Mycobacterium tuberculosis/*isolation & purification and *Real-Time Polymerase Chain Reaction and Sensitivity and Specificity and Tuberculosis/*diagnosis and Young Adult",NA,Evaluation Study and Journal Article,Role of real-time PCR (RT-PCR) in rapid diagnosis of tuberculous mycobacteria in different clinical samples.,"The study was aimed for molecular detection of mycobacterial DNA in different clinical samples using real-time polymerase chain reaction (RT-PCR) system and rapid diagnosis of tuberculosis. A total of 508 clinical specimens (blood 343, menstrual fluid 53, endometrial tissue 43, body fluid 36, pus from lymph nodes 18, sputum 8, urine 5 and semen 2) were included in this study. We extracted DNA using QIAamp DNA Mini Kit (QIAGEN, Germany) and performed real-time assay using Rotor-Gene Q machine from Corbett Research, Australia for specific amplification of IS6110 sequence of mycobacterial genome. The RT-PCR result was also compared with bacterial culture and acid-fast bacillus staining. RT-PCR assay showed positivity in 52 cases and negative in 456 cases. Corresponding positive results in culture and acid-fast bacillus staining methods were 49 cases and 24 cases respectively. The sensitivity and specificity of detecting Mycobacterium tuberculosis by RT-PCR were 93.87% and 98.69% respectively taking positive culture results as reference standards. The overall positive and negative predictive values were 88.46% and 99.34% respectively. RT-PCR is a useful diagnostic tool for rapid and sensitive detection of mycobacteria in different clinical samples. The easy processing, fast reporting and relative lack of contamination issues make it worthy as a possible replacement to time consuming culture techniques. Moreover, it has added advantage of quantification of mycobacterial DNA, hence bacterial load."
"Omrani, M. and Ansari, M.H.K. and Agaverdizadae, D.",Pakistan Journal of Biological Sciences,2009,Article,10.3923/pjbs.2009.373.377,https://www.scopus.com/inward/record.uri?eid=2-s2.0-67049155741&doi=10.3923%2fpjbs.2009.373.377&partnerID=40&md5=71c3a7652236f48dedb04fb8422a88bc,19579972,AFB method;  Molecular method;  Pulmonary diseases;  Sputum,NA,"diagnostic agent;  immunoglobulin G;  immunoglobulin M, article;  enzyme linked immunosorbent assay;  genetics;  human;  immunology;  lung tuberculosis;  methodology;  microbiology;  middle aged;  Mycobacterium tuberculosis;  polymerase chain reaction;  sensitivity and specificity, Enzyme-Linked Immunosorbent Assay;  Humans;  Immunoglobulin G;  Immunoglobulin M;  Middle Aged;  Mycobacterium tuberculosis;  Polymerase Chain Reaction;  Sensitivity and Specificity;  Tuberculosis, Pulmonary, Bacteria (microorganisms);  Mycobacterium tuberculosis",NA,PCR and elisa methods (IgG and IgM): Their comparison with conventional techniques for diagnosis of mycobacterium tuberculosis,"In order to establish a rapid and stable method for diagnosis of Mycobacterium tuberculosis infection and minimize the side effects of delayed diagnosis on patients and health system, a cross sectional study was carried out. Since, the infection rate with this bacteria increasing and one of the reasons for this increase is long process of laboratory identification, therefore establishing new diagnosis methods could decrease disease rate. To achieve this aim, collected sputum and blood specimens from 50 patients with clinical suspicion of pulmonary tuberculosis were studied with both traditional, acid-fast stain (AFB) and culture method compare to Enzyme-linked immunosorbent assay (Elisa) (IgG and IgM) and Polymerase Chain Reaction (PCR) methods. The sensitivity and specificity of all methods were determined by using the PCR results as the gold standard. The overall sensitivity, specificity, positive predictive value and negative predictive value of AFB were 17.64, 100,100 and 70.12%. These values for culture method was 29.41, 100, 100 and 73.33% and for IgG antibody were 66.7, 81.81, 64.7 and 81.81% and IgM antibody were 70.58, 90.9, 80 and 85.71%, respectively. It was concluded that maximum sensitivity and specificity can be achieved by PCR method.  2009 Asian Network for Scientific Information."
