author,journal,year,document_type,doi,url,pubmed_id,author_keywords,mesh_terms,keywords,publication_type,title,review_fulltext,abstract
Elliott TO and Owolabi O and Donkor S and Kampmann B and Hill PC and Ottenhoff TH and Haks MC and Kaufmann SH and Maertzdorf J and Sutherland JS,The Journal of infectious diseases,2015,NA,10.1093/infdis/jiv238,NA,25895988,NA,"Adult and Annexin A5/genetics/metabolism and Antigens, Bacterial/immunology and *Apoptosis and Cells, Cultured and *Disease Progression and Female and Gene Expression Profiling and Humans and Latent Tuberculosis/*immunology/pathology and Male and Microarray Analysis and Middle Aged and Multiplex Polymerase Chain Reaction and Mycobacterium tuberculosis and Propidium and Risk Factors and Signal Transduction and T-Lymphocyte Subsets/*immunology and Tuberculin Test and Young Adult",Bcl2 and RT-MLPA and active tuberculosis disease and apoptosis and flow cytometry and latent tuberculosis infection and microarray and tuberculosis and tuberculosis progressors,"Journal Article and Research Support, Non-U.S. Gov't",Dysregulation of Apoptosis Is a Risk Factor for Tuberculosis Disease Progression.,0,"BACKGROUND: A major barrier to effective tuberculosis control is our limited understanding of risk factors for tuberculosis disease progression. This study examined the role of apoptosis in immunity to tuberculosis. METHODS: Cell subsets from tuberculosis cases and tuberculin skin test-positive (TST(+)) and TST-negative (TST(-)) household contacts (HHCs) were analyzed for expression of annexin-V and propidium iodide by flow cytometry. RNA microarrays were used to determine differences in apoptotic gene expression levels and multiplex ligation-dependent probe amplification was used to analyze gene expression in HHCs who progressed to active tuberculosis. RESULTS: T cells from TST(+)HHC exhibited higher levels of apoptosis than tuberculosis cases; however, tuberculosis cases had a higher proportion of late apoptotic cells within the CD3(+)PD-1(+) subset. Tuberculosis cases had reduced levels of antiapoptotic genes compared to HHCs with a significant reduction in BCL2 associated with disease progression at least 1 year prior to progression. CONCLUSIONS: While T cells are clearly able to mount a robust immune response to Mycobacterium tuberculosis, there are increased levels of apoptosis seen in effector T cells from tuberculosis patients. Dysregulation of several apoptotic genes suggest that apoptosis is a major functional pathway that could be targeted for future host-directed therapeutics."
Wagner D and Kern WV,Deutsche medizinische Wochenschrift (1946),2011,NA,10.1055/s-0031-1274565,NA,21448828,NA,"AIDS-Related Opportunistic Infections/diagnosis/drug therapy/immunology and Antitubercular Agents/adverse effects/*therapeutic use and Humans and Interferon-gamma/blood and Latent Tuberculosis/diagnosis/drug therapy/immunology and Mycobacterium Infections, Nontuberculous/*diagnosis/drug therapy/immunology and Opportunistic Infections/diagnosis/drug therapy/immunology and Polymerase Chain Reaction and Poverty and Prognosis and Risk Factors and Tuberculin Test and Tuberculosis, Multidrug-Resistant/diagnosis/drug therapy/immunology and Tuberculosis, Pulmonary/*diagnosis/drug therapy/immunology",NA,Journal Article and Review,[Tuberculosis and nontuberculous mycobacterial infections].,0,NA
Diedrich CR and Mattila JT and Flynn JL,"Journal of immunology (Baltimore, Md. : 1950)",2013,NA,10.4049/jimmunol.1202043,NA,23690470,NA,Animals and CD4-Positive T-Lymphocytes/*immunology and Cell Separation and Flow Cytometry and Interleukin-5/immunology/*metabolism and Macaca fascicularis and Monocytes/*immunology/metabolism and Mycobacterium tuberculosis/immunology and Reverse Transcriptase Polymerase Chain Reaction and Simian Acquired Immunodeficiency Syndrome/*complications/immunology and Tuberculosis/*complications/immunology and Tumor Necrosis Factor-alpha/*biosynthesis/immunology,NA,"Journal Article and Research Support, N.I.H., Extramural",Monocyte-derived IL-5 reduces TNF production by Mycobacterium tuberculosis-specific CD4 T cells during SIV/M. tuberculosis coinfection.,0,"HIV-infected individuals are significantly more susceptible to tuberculosis (TB) than uninfected individuals. Although it is established that HIV reduces Mycobacterium tuberculosis-specific T cell responses, the causes of this dysfunction are not known. We used the cynomolgus macaque model of TB to demonstrate that ex vivo SIV reduces the frequency of M. tuberculosis-specific TNF and IFN--producing T cells within 24 h after infection. In vivo, T cell IFN- responses in granulomas from animals with SIV/M. tuberculosis coinfection were lower than SIV-negative animals with active TB. The SIV effects on the inhibition of T cell responses were primarily on APCs and not the T cells directly. Specifically, reductions in the frequency of TNF-producing M. tuberculosis-specific CD4 T cells were caused, at least in part, by SIV-induced production of monocyte derived IL-5."
Darboe F and Mbandi SK and Thompson EG and Fisher M and Rodo M and van Rooyen M and Filander E and Bilek N and Mabwe S and Hatherill M and Zak DE and Penn-Nicholson A and Scriba TJ,"Tuberculosis (Edinburgh, Scotland)",2018,NA,10.1016/j.tube.2017.11.001,NA,29523312,NA,"Area Under Curve and Case-Control Studies and *Cryopreservation and Gene Expression Profiling/*methods and Genetic Markers and High-Throughput Nucleotide Sequencing and Host-Pathogen Interactions and Humans and Leukocytes, Mononuclear/*chemistry/microbiology and Microfluidic Analytical Techniques and Mycobacterium tuberculosis/*pathogenicity and Predictive Value of Tests and RNA, Messenger/blood/*genetics and ROC Curve and Reproducibility of Results and Reverse Transcriptase Polymerase Chain Reaction and *Transcriptome and Tuberculosis/blood/*diagnosis/*genetics/microbiology",*Biomarker and *Correlate of risk and *Diagnostic and *PBMC and *Whole blood and *mRNA,"Evaluation Study and Letter and Research Support, Non-U.S. Gov't",Diagnostic performance of an optimized transcriptomic signature of risk of tuberculosis in cryopreserved peripheral blood mononuclear cells.,0,NA
Rizzi C and Bianco MV and Blanco FC and Soria M and Gravisaco MJ and Montenegro V and Vagnoni L and Buddle B and Garbaccio S and Delgado F and Leal KS and Cataldi AA and Dellagostin OA and Bigi F,PloS one,2012,NA,10.1371/journal.pone.0051396,NA,23251517,NA,"Animals and BCG Vaccine/*administration & dosage and Cattle and Cattle Diseases/immunology/*prevention & control and DNA Primers and Flow Cytometry and Interferon-gamma/biosynthesis and Mycobacterium bovis/*immunology and Polymerase Chain Reaction and Tuberculin Test and Tuberculosis, Bovine/immunology/*prevention & control",NA,"Journal Article and Research Support, N.I.H., Extramural and Research Support, Non-U.S. Gov't",Vaccination with a BCG strain overexpressing Ag85B protects cattle against Mycobacterium bovis challenge.,0,"Mycobacterium bovis is the causative agent of tuberculosis in cattle but also infects other animals, including humans. Previous studies in cattle have demonstrated that the protection induced by BCG is not complete. In order to improve the protection efficacy of BCG, in this study we overexpressed Ag85B in a BCG Pasteur strain, by using an expression system based on the use of an auxotrophic strain for the leucine amino acid, and complementation with leuD. We found that vaccination of cattle with BCG overexpressing Ag85B induced higher production of IL-17 and IL-4 mRNA upon purified protein derivative (PPDB) stimulation of peripheral blood mononuclear cells (PBMCs) than vaccination with BCG. Moreover, the IL-17 mRNA expression after vaccination negatively correlated with disease severity resulting from a subsequent challenge with M. bovis, suggesting that this cytokine is a potential biomarker of cattle protection against bovine tuberculosis. Importantly, vaccination with the recombinant BCG vaccine protected cattle better than the wild-type BCG Pasteur."
Tueller C,Respiration; international review of thoracic diseases,2010,NA,10.1159/000300574,NA,20332608,NA,"Humans and Interferon-gamma/*blood and *Polymerase Chain Reaction and *Radiography, Thoracic and Sputum/microbiology and Tomography, X-Ray Computed and Tuberculosis, Pulmonary/*diagnosis/diagnostic imaging",NA,Comment and Editorial,There is more than one way to catch a bug.,0,NA
Kolk AH and Kox LF and Kuijper S and Richter C,"Lancet (London, England)",1994,NA,10.1016/s0140-6736(94)92135-0,NA,7915390,NA,"DNA, Bacterial/*blood/genetics and Gene Amplification and Humans and Immunocompromised Host and Mycobacterium tuberculosis/genetics/*isolation & purification and *Polymerase Chain Reaction and Tuberculosis/*diagnosis/microbiology",NA,Comment and Letter,Detection of Mycobacterium tuberculosis in peripheral blood.,1,NA
Haas CT and Roe JK and Pollara G and Mehta M and Noursadeghi M,BMC medicine,2016,NA,10.1186/s12916-016-0583-9,NA,27005907,NA,"Communicable Diseases and Female and Humans and Interferon-gamma Release Tests/*methods and Male and Microbiological Techniques/methods and Mycobacterium/*isolation & purification and Tuberculin Test/*methods and Tuberculosis, Pulmonary/*diagnosis/*microbiology",,"Journal Article and Research Support, Non-U.S. Gov't and Review",Diagnostic 'omics' for active tuberculosis.,0,"The decision to treat active tuberculosis (TB) is dependent on microbiological tests for the organism or evidence of disease compatible with TB in people with a high demographic risk of exposure. The tuberculin skin test and peripheral blood interferon- release assays do not distinguish active TB from a cleared or latent infection. Microbiological culture of mycobacteria is slow. Moreover, the sensitivities of culture and microscopy for acid-fast bacilli and nucleic acid detection by PCR are often compromised by difficulty in obtaining samples from the site of disease. Consequently, we need sensitive and rapid tests for easily obtained clinical samples, which can be deployed to assess patients exposed to TB, discriminate TB from other infectious, inflammatory or autoimmune diseases, and to identify subclinical TB in HIV-1 infected patients prior to commencing antiretroviral therapy. We discuss the evaluation of peripheral blood transcriptomics, proteomics and metabolomics to develop the next generation of rapid diagnostics for active TB. We catalogue the studies published to date seeking to discriminate active TB from healthy volunteers, patients with latent infection and those with other diseases. We identify the limitations of these studies and the barriers to their adoption in clinical practice. In so doing, we aim to develop a framework to guide our approach to discovery and development of diagnostic biomarkers for active TB."
Click ES and Murithi W and Ouma GS and McCarthy K and Willby M and Musau S and Alexander H and Pevzner E and Posey J and Cain KP,Scientific reports,2018,NA,10.1038/s41598-017-17683-6,NA,29330384,NA,"Adult and Cell-Free Nucleic Acids/*genetics and DNA, Bacterial/*blood and Female and Humans and Male and Mycobacterium tuberculosis/*genetics and Real-Time Polymerase Chain Reaction and Sensitivity and Specificity and Sputum/microbiology and Tuberculosis/blood/*diagnosis",NA,"Journal Article and Research Support, U.S. Gov't, Non-P.H.S.",Detection of Apparent Cell-free M. tuberculosis DNA from Plasma.,1,"New diagnostics are needed to improve clinicians' ability to detect tuberculosis (TB) disease in key populations such as children and persons living with HIV and to rapidly detect drug resistance. Circulating cell-free DNA (ccfDNA) in plasma is a diagnostic target in new obstetric and oncologic applications, but its utility for diagnosing TB is not known. Here we show that Mycobacterium tuberculosis complex DNA can be detected in plasma of persons with sputum smear-positive TB, even in the absence of mycobacteremia. Among 40 participants with bacteriologically-confirmed smear-positive TB disease who had plasma tested by quantitative PCR (qPCR), 18/40 (45%) had a positive result on at least one triplicate reaction. Our results suggest that plasma DNA may be a useful target for improving clinicians' ability to diagnose TB. We anticipate these findings to be the starting point for optimized methods of TB ccfDNA testing and sequence-based diagnostic applications such as molecular detection of drug resistance."
Zhou Z and Zheng Y and Wang L,Clinica chimica acta; international journal of clinical chemistry,2020,NA,10.1016/j.cca.2019.09.026,NA,31654631,NA,"Female and Humans and Male and Middle Aged and Mycobacterium tuberculosis/*isolation & purification/*physiology and Tuberculosis, Osteoarticular/*diagnosis",Bone and joint tuberculosis and Diagnosis and T-SPOT.TB and Xpert MTB/RIF,Comparative Study and Journal Article,A comparative study on the value of Xpert MTB/RIF and T-SPOT.TB tests in the diagnosis of bone and joint tuberculosis.,0,"BACKGROUND: We evaluated the application value of Xpert MTB/RIF and T-SPOT.TB in the diagnosis of bone and joint tuberculosis. METHODS: One hundred two patients with suspected bone and joint tuberculosis (BJTB) were admitted to Zhengzhou Orthopaedics Hospital, Henan, China from April 2018 to February 2019. The Xpert MTB/RIF and T-SPOT.TB tests were performed using pus specimens and peripheral blood, respectively. The diagnostic performance of Xpert MTB/RIF and T-SPOT.TB tests was evaluated on the basis of the composite reference standard (CRS). RESULT: A Total of 73 suspected BJTB were enrolled and categorized, including 12 confirmed BJTB, 27 probable BJTB and 34 non-BJTB. When CRS was used as the reference, the specificity, PPV and NLR values of the Xpert MTB/RIF assay were significantly higher than those of the T-SPOT.TB assay (97.1% vs. 82.4%, p<0.05; 96.7% vs. 85.4%, p<0.05; 0.26 vs. 0.12, p<0.05). However, the sensitivity, NPV and PLR values of the T-SPOT. TB assay were significantly higher than those of the Xpert MTB/RIF assay (89.7% vs. 74.4%, p<0.05; 87.5% vs. 76.7%, p<0.05; 5.08 vs. 2.52, p<0.05). The AUCs from Xpert MTB/RIF and T-SPOT. TB tests were 0.857 and 0.860, respectively. However, the difference was not statistically significant. The Xpert MTB/RIF and T-SPOT. TB tests demonstrated medium concordance in diagnosing BJTB. CONCLUSION: The sensitivity of T-SPOT.TB test combined with the specificity of Xpert MTB/RIF not only shorten the time of diagnosis but also improve the accuracy of diagnosis of BJTB and reduce the misdiagnosis rate. Therefore, they are useful for early diagnosis of BJTB."
