,author,journal,year,document_type,doi,url,pubmed_id,author_keywords,mesh_terms,keywords,publication_type,title,review_fulltext,abstract
1,Latiff N and Sudharshan S and Verma A and Khetan V and Biswas J,Indian journal of ophthalmology,2019,NA,10.4103/ijo.IJO_1271_19,NA,31755449,NA,"Acetylcholinesterase/blood and Adult and Antigens, Bacterial/genetics and Antitubercular Agents/therapeutic use and Aqueous Humor/metabolism and Bacterial Proteins/genetics and Blood Sedimentation and Ciliary Body/drug effects/*pathology and Diagnosis, Differential and Eye Infections, Bacterial/*diagnosis/drug therapy and Gene Expression/physiology and Humans and Iris Diseases/*diagnosis/drug therapy and Male and Melanoma/*diagnosis and Microscopy, Acoustic and Polymerase Chain Reaction and Tuberculoma/*diagnosis/drug therapy and Tuberculosis, Ocular/*diagnosis/drug therapy and Uveal Diseases/*diagnosis/drug therapy and Uveal Neoplasms/*diagnosis",NA,Case Reports and Journal Article,Iridocilary tuberculoma mimicking melanoma.,0,NA
2,Wolter N and Tempia S and Cohen C and Madhi SA and Venter M and Moyes J and Walaza S and Malope-Kgokong B and Groome M and du Plessis M and Magomani V and Pretorius M and Hellferscee O and Dawood H and Kahn K and Variava E and Klugman KP and von Gottberg A,The Journal of infectious diseases,2014,NA,10.1093/infdis/jiu326,NA,24907383,NA,"Adolescent and Adult and Aged and Aged, 80 and over and Bacteremia/*epidemiology/microbiology and Bacterial Load and Child and Child, Preschool and Coinfection/*microbiology/*virology and Female and Humans and Infant and Male and Middle Aged and Nasopharynx/microbiology/virology and Pneumonia, Pneumococcal/*complications/microbiology/pathology and Prospective Studies and Real-Time Polymerase Chain Reaction and Respiratory Tract Infections/*microbiology/*virology and South Africa and Streptococcus pneumoniae/isolation & purification and Virus Diseases/*complications/virology and Viruses/classification/isolation & purification and Young Adult",bacterial loads and colonization and invasive pneumococcal disease and pneumococcus and respiratory virus,"Journal Article and Observational Study and Research Support, Non-U.S. Gov't and Research Support, U.S. Gov't, P.H.S.","High nasopharyngeal pneumococcal density, increased by viral coinfection, is associated with invasive pneumococcal pneumonia.",0,"BACKGROUND: We identified factors associated with pneumococcal colonization, high colonization density, and invasive pneumococcal pneumonia among patients hospitalized with acute lower respiratory tract infections (ALRTIs). METHODS: In 2010, 4025 cases were enrolled in surveillance in South Africa. A total of 969 of 4025 systematically selected nasopharyngeal-oropharyngeal specimens (24%) were tested for respiratory viruses and Streptococcus pneumoniae by real-time polymerase chain reaction. Of these, 749 (77%) had blood tested for S. pneumoniae. RESULTS: Pneumococcal colonization was detected in 55% of cases (534 of 969). On multivariable analysis that controlled for age and tuberculosis treatment, infection with influenza virus (adjusted odds ratio [OR], 2.2; 95% confidence interval [CI], 1.1-4.5), adenovirus (adjusted OR, 1.7; 95% CI, 1.1-2.7), rhinovirus (adjusted OR, 1.6; 95% CI, 1.1-2.3), and human immunodeficiency virus (HIV; adjusted OR, 1.6; 95% CI, 1.1-2.4) were associated with pneumococcal colonization. High colonization density was associated with respiratory virus coinfection (adjusted OR, 1.7; 95% CI, 1.1-2.6) and invasive pneumococcal pneumonia (adjusted OR, 2.3; 95% CI, 1.3-4.0), after adjustment for age and sex. Seven percent (52 of 749) had pneumococci detected in blood. On multivariable analysis among colonized cases, invasive pneumococcal pneumonia was associated with HIV (adjusted OR, 3.2; 95% CI, 1.4-7.5), influenza virus (adjusted OR, 8.2; 95% CI, 2.7-25.0), high colonization density (adjusted OR, 18.7; 95% CI, 2.3-155.1), and 5 days of hospitalization (adjusted OR, 3.7; 95% CI, 1.7-8.2). CONCLUSIONS: Respiratory virus infection was associated with elevated colonization density and, in turn, invasive pneumococcal pneumonia."
3,"Zayer, S. and Koberstein, B. and Pohle, T.",Zeitschrift fur Gastroenterologie,2011,Article,10.1055/s-0029-1245695,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78651383687&doi=10.1055%2fs-0029-1245695&partnerID=40&md5=f99e064ec4a295e2ef39603cfe42fae1,21225536,colorectal cancer;  metastases;  TBC,NA,"clarithromycin;  ethambutol;  isoniazid;  pyrazinamide;  rifabutin;  streptomycin;  tuberculostatic agent, aged;  article;  bacterium culture;  blood analysis;  case report;  computer assisted tomography;  differential diagnosis;  fatigue;  female;  gastrointestinal endoscopy;  histopathology;  human;  Human immunodeficiency virus infection;  laboratory test;  liver biopsy;  liver granuloma;  liver injury;  liver metastasis;  mammography;  microcytic anemia;  microscopy;  muscle weakness;  polymerase chain reaction;  positron emission tomography;  remission;  thorax radiography;  treatment outcome;  tuberculosis;  ultrasound;  weight reduction, Antitubercular Agents;  Female;  Humans;  Middle Aged;  Treatment Outcome;  Tuberculosis, Hepatic",NA,Hepatic lesions in an elderly woman - Cancer isn't always the Answer,0,"Multiple hepatic lesions in an elderly woman usually suggest metastatic malignant disease, in most situations already beyond cure. However, we present the case of an 81-year-old female in whom histopathology verified granulomas and PCR proved hepatic tuberculosis. Tuberculostatic quadruple therapy resulted in complete remission. Isolated hepatic tuberculosis is rare, especially in HIV-negative subjects living in areas of low tuberculosis prevalence. This case highlights the need to histopathologically confirm malignancy as withholding therapy would have been deleterious in this curable patient.  2010 Georg Thieme Verlag KG Stuttgart  New York."
4,Wilkinson KA and Walker NF and Meintjes G and Deffur A and Nicol MP and Skolimowska KH and Matthews K and Tadokera R and Seldon R and Maartens G and Rangaka MX and Besra GS and Wilkinson RJ,"Journal of immunology (Baltimore, Md. : 1950)",2015,NA,10.4049/jimmunol.1402105,NA,25589068,NA,"Adult and Coinfection and Cross-Sectional Studies and Enzyme-Linked Immunosorbent Assay and Female and Flow Cytometry and Granzymes/biosynthesis/immunology and HIV Infections/complications/*immunology and Humans and Immune Reconstitution Inflammatory Syndrome/etiology/*immunology and Interferon-gamma/biosynthesis/immunology and Leukocytes, Mononuclear/immunology and Longitudinal Studies and Male and Oligonucleotide Array Sequence Analysis and Perforin/biosynthesis/immunology and Real-Time Polymerase Chain Reaction and Tuberculosis/complications/*immunology",NA,"Journal Article and Research Support, Non-U.S. Gov't",Cytotoxic mediators in paradoxical HIV-tuberculosis immune reconstitution inflammatory syndrome.,0,"Tuberculosis-associated immune reconstitution inflammatory syndrome (TB-IRIS) frequently complicates combined antiretroviral therapy and antituberculosis therapy in HIV-1-coinfected tuberculosis patients. The immunopathological mechanisms underlying TB-IRIS are incompletely defined, and improved understanding is required to derive new treatments and to reduce associated morbidity and mortality. We performed longitudinal and cross-sectional analyses of human PBMCs from paradoxical TB-IRIS patients and non-IRIS controls (HIV-TB-coinfected patients commencing antiretroviral therapy who did not develop TB-IRIS). Freshly isolated PBMC stimulated with heat-killed Mycobacterium tuberculosis H37Rv (hkH37Rv) were used for IFN- ELISPOT and RNA extraction. Stored RNA was used for microarray and RT-PCR, whereas corresponding stored culture supernatants were used for ELISA. Stored PBMC were used for perforin and granzyme B ELISPOT and flow cytometry. There were significantly increased IFN- responses to hkH37Rv in TB-IRIS, compared with non-IRIS PBMC (p = 0.035). Microarray analysis of hkH37Rv-stimulated PBMC indicated that perforin 1 was the most significantly upregulated gene, with granzyme B among the top five (log2 fold difference 3.587 and 2.828, respectively), in TB-IRIS. Downstream experiments using RT-PCR, ELISA, and ELISPOT confirmed the increased expression and secretion of perforin and granzyme B. Moreover, granzyme B secretion reduced in PBMC from TB-IRIS patients during corticosteroid treatment. Invariant NKT cell (CD3(+)V24(+)) proportions were higher in TB-IRIS patients (p = 0.004) and were a source of perforin. Our data implicate the granule exocytosis pathway in TB-IRIS pathophysiology. Further understanding of the immunopathogenesis of this condition will facilitate development of specific diagnostic and improved therapeutic options."
5,Cezar RD and Lucena-Silva N and Filho AF and Borges Jde M and de Oliveira PR and Lcio C and Arruda-Lima M and Santana VL and Pinheiro Junior JW,BMC veterinary research,2016,NA,10.1186/s12917-016-0656-1,NA,26897524,NA,"Animals and Brazil and Cattle and DNA, Bacterial/isolation & purification and Female and Milk/*microbiology and Molecular Diagnostic Techniques/veterinary and Mycobacterium bovis/genetics/*isolation & purification and Real-Time Polymerase Chain Reaction/veterinary and Tuberculosis, Bovine/blood/*microbiology",NA,Journal Article,"Molecular detection of Mycobacterium bovis in cattle herds of the state of Pernambuco, Brazil.",0,"BACKGROUND: The present study aimed to direct detect Mycobacterium bovis in milk (n=401) and blood (n=401) samples collected from 401 dairy cows of 20 properties located in the state of Pernambuco, Brazil, by real-time quantitative PCR (qPCR) targeting the region of difference 4 (RD4). Risk factors possibly associated with bovine tuberculosis (BTB) were also evaluated. RESULTS: Of the 802 samples analyzed, one milk (0.25%) and eight blood (2%) samples were positive for M. bovis in the qPCR and their identities were confirmed by sequencing. Animals positive for M. bovis were found in six (30%) of the 20 properties visited. None of the risk factors evaluated were statistically associated with BTB. CONCLUSIONS: M. bovis DNA was detected in one milk sample what may pose a risk to public health because raw milk is commonly consumed in Brazil."
6,Myers JN,Disease-a-month : DM,2007,NA,10.1016/j.disamonth.2006.10.003,NA,17224320,NA,"Antitubercular Agents/therapeutic use and Blood/microbiology and Cerebrospinal Fluid/chemistry/microbiology and Humans and Mycobacterium tuberculosis/genetics/isolation & purification and Polymerase Chain Reaction and Predictive Value of Tests and Risk Factors and Sensitivity and Specificity and Tomography, X-Ray Computed and Treatment Outcome and Tuberculosis, Central Nervous System/*diagnosis/diagnostic imaging/therapy and Tuberculosis, Miliary/*diagnosis/diagnostic imaging/therapy and Tuberculosis, Urogenital/*diagnosis/therapy",NA,Journal Article and Review,"Miliary, central nervous system, and genitourinary tuberculosis.",0,NA
7,Chung HC and Kim BK and Hong H and Wang HY and Kim Y and Lee H and Eom M and Choi EH,Acta dermato-venereologica,2016,NA,10.2340/00015555-2182,NA,26084370,NA,"Antitubercular Agents/therapeutic use and Biomarkers/metabolism and DNA, Bacterial/genetics and Humans and Interferon-gamma/*metabolism and *Interferon-gamma Release Tests and Mycobacterium tuberculosis/*genetics/*immunology and *Polymerase Chain Reaction and Predictive Value of Tests and Skin/drug effects/immunology/*microbiology and T-Lymphocytes/immunology/metabolism/*microbiology and Treatment Outcome and Tuberculosis, Cutaneous/*diagnosis/drug therapy/immunology/microbiology",NA,"Journal Article and Research Support, Non-U.S. Gov't",Interferon- Release Assay and Reverse Blot Hybridization Assay: Diagnostic Role in Cutaneous Tuberculosis.,0,NA
8,Thompson EG and Du Y and Malherbe ST and Shankar S and Braun J and Valvo J and Ronacher K and Tromp G and Tabb DL and Alland D and Shenai S and Via LE and Warwick J and Aderem A and Scriba TJ and Winter J and Walzl G and Zak DE,"Tuberculosis (Edinburgh, Scotland)",2017,NA,10.1016/j.tube.2017.08.004,NA,29050771,NA,"Antitubercular Agents/*therapeutic use and Area Under Curve and Disease Progression and Drug Resistance, Bacterial/genetics and Gene Expression Profiling/*methods and Genetic Markers and Host-Pathogen Interactions and Humans and Mycobacterium tuberculosis/*drug effects/pathogenicity and Predictive Value of Tests and RNA/blood/*genetics and ROC Curve and Real-Time Polymerase Chain Reaction and Reproducibility of Results and Risk Factors and Sequence Analysis, RNA and Sputum/microbiology and Time Factors and *Transcriptome and Treatment Failure and Tuberculosis, Pulmonary/blood/diagnosis/*drug therapy/*genetics",*Biomarkers and *Host response and *Mitochondria and *Transcriptome and *Tuberculosis treatment,Journal Article and Validation Study,Host blood RNA signatures predict the outcome of tuberculosis treatment.,0,"Biomarkers for tuberculosis treatment outcome will assist in guiding individualized treatment and evaluation of new therapies. To identify candidate biomarkers, RNA sequencing of whole blood from a well-characterized TB treatment cohort was performed. Application of a validated transcriptional correlate of risk for TB revealed symmetry in host gene expression during progression from latent TB infection to active TB disease and resolution of disease during treatment, including return to control levels after drug therapy. The symmetry was also seen in a TB disease signature, constructed from the TB treatment cohort, that also functioned as a strong correlate of risk. Both signatures identified patients at risk of treatment failure 1-4 weeks after start of therapy. Further mining of the transcriptomes revealed an association between treatment failure and suppressed expression of mitochondrial genes before treatment initiation, leading to development of a novel baseline (pre-treatment) signature of treatment failure. These novel host responses to TB treatment were integrated into a five-gene real-time PCR-based signature that captures the clinically relevant responses to TB treatment and provides a convenient platform for stratifying patients according to their risk of treatment failure. Furthermore, this 5-gene signature is shown to correlate with the pulmonary inflammatory state (as measured by PET-CT) and can complement sputum-based Gene Xpert for patient stratification, providing a rapid and accurate alternative to current methods."
9,Beltrn-Beck B and de la Fuente J and Garrido JM and Aranaz A and Sevilla I and Villar M and Boadella M and Galindo RC and Prez de la Lastra JM and Moreno-Cid JA and Fernndez de Mera IG and Alberdi P and Santos G and Ballesteros C and Lyashchenko KP and Minguijn E and Romero B and de Juan L and Domnguez L and Juste R and Gortazar C,PloS one,2014,NA,10.1371/journal.pone.0098048,NA,24842853,NA,"Administration, Oral and Animals and Antibodies, Bacterial/blood and Blotting, Western and Complement System Proteins/*drug effects and DNA Primers/genetics and Dendritic Cells/immunology and Flow Cytometry and Mycobacterium bovis/*genetics and Polymerase Chain Reaction and Proteomics and Real-Time Polymerase Chain Reaction and Regression Analysis and Sus scrofa and Tuberculosis/immunology/*prevention & control and Vaccines, Inactivated/administration & dosage/*pharmacology",NA,"Journal Article and Research Support, Non-U.S. Gov't",Oral vaccination with heat inactivated Mycobacterium bovis activates the complement system to protect against tuberculosis.,0,"Tuberculosis (TB) remains a pandemic affecting billions of people worldwide, thus stressing the need for new vaccines. Defining the correlates of vaccine protection is essential to achieve this goal. In this study, we used the wild boar model for mycobacterial infection and TB to characterize the protective mechanisms elicited by a new heat inactivated Mycobacterium bovis vaccine (IV). Oral vaccination with the IV resulted in significantly lower culture and lesion scores, particularly in the thorax, suggesting that the IV might provide a novel vaccine for TB control with special impact on the prevention of pulmonary disease, which is one of the limitations of current vaccines. Oral vaccination with the IV induced an adaptive antibody response and activation of the innate immune response including the complement component C3 and inflammasome. Mycobacterial DNA/RNA was not involved in inflammasome activation but increased C3 production by a still unknown mechanism. The results also suggested a protective mechanism mediated by the activation of IFN- producing CD8+ T cells by MHC I antigen presenting dendritic cells (DCs) in response to vaccination with the IV, without a clear role for Th1 CD4+ T cells. These results support a role for DCs in triggering the immune response to the IV through a mechanism similar to the phagocyte response to PAMPs with a central role for C3 in protection against mycobacterial infection. Higher C3 levels may allow increased opsonophagocytosis and effective bacterial clearance, while interfering with CR3-mediated opsonic and nonopsonic phagocytosis of mycobacteria, a process that could be enhanced by specific antibodies against mycobacterial proteins induced by vaccination with the IV. These results suggest that the IV acts through novel mechanisms to protect against TB in wild boar."
10,Lange C and Schaberg T and Diel R and Greinert U,Deutsche medizinische Wochenschrift (1946),2006,NA,10.1055/s-2006-932523,NA,16468106,NA,"Antibodies, Bacterial/blood and Enzyme-Linked Immunosorbent Assay/methods and Germany/epidemiology and Humans and Interferon-gamma/biosynthesis/immunology and Leukocytes, Mononuclear/immunology and Lung/diagnostic imaging and Mycobacterium tuberculosis/genetics/immunology/*isolation & purification and Polymerase Chain Reaction and Radiography and Sputum/microbiology and Tuberculin Test and Tuberculosis, Pulmonary/*diagnosis/epidemiology",NA,Journal Article and Review,[Current position regarding the diagnosis of tuberculosis].,0,NA
